Day,Order,Reading
48,2,Mark 2:13-3:6
48,3,Ps 36:1-12
48,4,Prov 10:1-2
49,1,Lev 6:1-7:27
49,2,Mark 3:7-30
49,3,Ps 37:1-11
49,4,Prov 10:3-4
50,1,Lev 7:28-9:6
50,2,Mark 3:31-4:25
50,3,Ps 37:12-29
50,4,Prov 10:5
51,1,Lev 9:7-10:20
51,2,Mark 4:26-5:20
51,3,Ps 37:30-40
51,4,Prov 10:6-7
52,1,Lev 11:1-12:8
52,2,Mark 5:21-43
52,3,Ps 38:1-22
52,4,Prov 10:8-9
53,1,Lev 13:1-59
53,2,Mark 6:1-29
53,3,Ps 39:1-13
53,4,Prov 10:10
54,1,Lev 14:1-57
54,2,Mark 6:30-56
54,3,Ps 40:1-10
54,4,Prov 10:11-12
55,1,Lev 15:1-16:28
55,2,Mark 7:1-23
55,3,Ps 40:11-17
55,4,Prov 10:13-14
56,1,Lev 16:29-18:30
56,2,Mark 7:24-8:10
56,3,Ps 41:1-13
56,4,Prov 10:15-16
57,1,Lev 19:1-20:21
57,2,Mark 8:11-38
57,3,Ps 42:1-11
57,4,Prov 10:17
58,1,Lev 20:22-22:16
58,2,Mark 9:1-29
58,3,Ps 43:1-5
58,4,Prov 10:18
59,1,Lev 22:17-23:44
59,2,Mark 9:30-10:12
59,3,Ps 44:1-8
59,4,Prov 10:19
60,1,Lev 24:1-25:46
60,2,Mark 10:13-31
60,3,Ps 44:9-26
60,4,Prov 10:20-21
61,1,Lev 25:47-27:13
61,2,Mark 10:32-52
61,3,Ps 45:1-17
61,4,Prov 10:22
62,1,Lev 27:14-34
62,2,Num 1:1-54
62,3,Mark 11:1-26
62,4,Ps 46:1-11
62,5,Prov 10:23
63,1,Num 2:1-3:51
63,2,Mark 11:27-12:17
63,3,Ps 47:1-9
63,4,Prov 10:24-25
64,1,Num 4:1-5:31
64,2,Mark 12:18-37
64,3,Ps 48:1-14
64,4,Prov 10:26
65,1,Num 6:1-7:89
65,2,Mark 12:38-13:13
65,3,Ps 49:1-20
65,4,Prov 10:27-28
66,1,Num 8:1-9:23
66,2,Mark 13:14-37
66,3,Ps 50:1-23
66,4,Prov 10:29-30
67,1,Num 10:1-11:23
67,2,Mark 14:1-21
67,3,Ps 51:1-19
67,4,Prov 10:31-32
68,1,Num 11:24-13:33
68,2,Mark 14:22-52
68,3,Ps 52:1-9
68,4,Prov 11:1-3
69,1,Num 14:1-15:16
69,2,Mark 14:53-72
69,3,Ps 53:1-6
69,4,Prov 11:4
70,1,Num 15:17-16:40
70,2,Mark 15:1-47
70,3,Ps 54:1-7
70,4,Prov 11:5-6
71,1,Num 16:41-18:32
71,2,Mark 16:1-20
71,3,Ps 55:1-23
71,4,Prov 11:7
72,1,Num 19:1-20:29
72,2,Luke 1:1-25
72,3,Ps 56:1-13
72,4,Prov 11:8
73,1,Num 21:1-22:20
73,2,Luke 1:26-56
73,3,Ps 57:1-11
73,4,Prov 11:9-11
74,1,Num 22:21-23:30
74,2,Luke 1:57-80
74,3,Ps 58:1-11
74,4,Prov 11:12-13
75,1,Num 24:1-25:18
75,2,Luke 2:1-35
75,3,Ps 59:1-17
75,4,Prov 11:14
76,1,Num 26:1-51
76,2,Luke 2:36-52
76,3,Ps 60:1-12
76,4,Prov 11:15
77,1,Num 26:52-28:15
77,2,Luke 3:1-22
77,3,Ps 61:1-8
77,4,Prov 11:16-17
78,1,Num 28:16-29:40
78,2,Luke 3:23-38
78,3,Ps 62:1-12
78,4,Prov 11:18-19
79,1,Num 30:1-31:54
79,2,Luke 4:1-30
79,3,Ps 63:1-11
79,4,Prov 11:20-21
80,1,Num 32:1-33:39
80,2,Luke 4:31-5:11
80,3,Ps 64:1-10
80,4,Prov 11:22
81,1,Num 33:40-35:34
81,2,Luke 5:12-28
81,3,Ps 65:1-13
81,4,Prov 11:23
82,1,Num 36:1-13
82,2,Deut 1:1-46
82,3,Luke 5:29-6:11
82,4,Ps 66:1-20
82,5,Prov 11:24-26
83,1,Deut 2:1-3:29
83,2,Luke 6:12-38
83,3,Ps 67:1-7
83,4,Prov 11:27
84,1,Deut 4:1-49
84,2,Luke 6:39-7:10
84,3,Ps 68:1-18
84,4,Prov 11:28
85,1,Deut 5:1-6:25
85,2,Luke 7:11-35
85,3,Ps 68:19-35
85,4,Prov 11:29-31
86,1,Deut 7:1-8:20
86,2,Luke 7:36-8:3
86,3,Ps 69:1-18
86,4,Prov 12:1
87,1,Deut 9:1-10:22
87,2,Luke 8:4-21
87,3,Ps 69:19-36
87,4,Prov 12:2-3
88,1,Deut 11:1-12:32
88,2,Luke 8:22-39
88,3,Ps 70:1-5
88,4,Prov 12:4
89,1,Deut 13:1-15:23
89,2,Luke 8:40-9:6
89,3,Ps 71:1-24
89,4,Prov 12:5-7
90,1,Deut 16:1-17:20
90,2,Luke 9:7-27
90,3,Ps 72:1-20
90,4,Prov 12:8-9
91,1,Deut 18:1-20:20
91,2,Luke 9:28-50
91,3,Ps 73:1-28
91,4,Prov 12:10
92,1,Deut 21:1-22:30
92,2,Luke 9:51-10:12
92,3,Ps 74:1-23
92,4,Prov 12:11
93,1,Deut 23:1-25:19
93,2,Luke 10:13-37
93,3,Ps 75:1-10
93,4,Prov 12:12-14
94,1,Deut 26:1-27:26
94,2,Luke 10:38-11:13
94,3,Ps 76:1-12
94,4,Prov 12:15-17
95,1,Deut 28:1-68
95,2,Luke 11:14-36
95,3,Ps 77:1-20
95,4,Prov 12:18
96,1,Deut 29:1-30:20
96,2,Luke 11:37-12:7
96,3,Ps 78:1-31
96,4,Prov 12:19-20
97,1,Deut 31:1-32:27
97,2,Luke 12:8-34
97,3,Ps 78:32-55
97,4,Prov 12:21-23
98,1,Deut 32:28-52
98,2,Luke 12:35-59
98,3,Ps 78:56-64
98,4,Prov 12:24
99,1,Deut 33:1-29
99,2,Luke 13:1-21
99,3,Ps 78:65-72
99,4,Prov 12:25
100,1,Deut 34:1-12
100,2,Josh 1:1-2:24
100,3,Luke 13:22-14:6
100,4,Ps 79:1-13
100,5,Prov 12:26
101,1,Josh 3:1-4:24
101,2,Luke 14:7-35
101,3,Ps 80:1-19
101,4,Prov 12:27-28
102,1,Josh 5:1-7:15
102,2,Luke 15:1-32
102,3,Ps 81:1-16
102,4,Prov 13:1
103,1,Josh 7:16-9:2
103,2,Luke 16:1-18
103,3,Ps 82:1-8
103,4,Prov 13:2-3
104,1,Josh 9:3-10:43
104,2,Luke 16:19-17:10
104,3,Ps 83:1-18
104,4,Prov 13:4
105,1,Josh 11:1-12:24
105,2,Luke 17:11-37
105,3,Ps 84:1-12
