Day,Order,Reading
133,1,Ps 69:22-89:13
134,1,Ps 89:14-108:13
135,1,Ps 109:1-134:3
136,1,Ps 135:1-150:6
136,2,Prov 1:1-6:35
137,1,Prov 7:1-20:21
138,1,Prov 20:22-31:31
138,2,Eccl 1:1-2:26
139,1,Eccl 3:1-12:14
139,2,Song 1:1-8:14
140,1,Isa 1:1-13:22
141,1,Isa 14:1-28:29
142,1,Isa 29:1-41:18
143,1,Isa 41:19-52:12
144,1,Isa 52:13-66:18
145,1,Isa 66:19-24
145,2,Jer 1:1-10:13
146,1,Jer 10:14-23:8
147,1,Jer 23:9-33:22
148,1,Jer 33:23-47:7
149,1,Jer 48:1-52:34
149,2,Lam 1:1-22
150,1,Lam 2:1-5:22
150,2,Ezek 1:1-12:20
151,1,Ezek 12:21-23:39
152,1,Ezek 23:40-35:15
153,1,Ezek 36:1-47:12
154,1,Ezek 47:13-48:35
154,2,Dan 1:1-8:27
155,1,Dan 9:1-12:13
155,2,Hos 1:1-13:6
156,1,Hos 13:7-14:9
156,2,Joel 1:1-3:21
156,3,Amos 1:1-9:10
157,1,Amos 9:11-15
157,2,Obad 1:1-21
157,3,Jonah 1:1-4:11
157,4,Mic 1:1-7:20
157,5,Nah 1:1-3:19
158,1,Hab 1:1-3:19
158,2,Zeph 1:1-3:20
158,3,Hag 1:1-2:23
158,4,Zech 1:1-10:12
159,1,Zech 11:1-14:21
159,2,Mal 1:1-4:6
159,3,Matt 1:1-4:25
160,1,Matt 5:1-15:39
161,1,Matt 16:1-26:56
162,1,Matt 26:57-28:20
162,2,Mark 1:1-9:13
163,1,Mark 9:14-16:20
163,2,Luke 1:1-80
164,1,Luke 2:1-9:62
165,1,Luke 10:1-20:19
166,1,Luke 20:20-24:53
166,2,John 1:1-5:47
167,1,John 6:1-15:17
168,1,John 15:18-21:25
168,2,Acts 1:1-6:7
169,1,Acts 6:8-16:37
170,1,Acts 16:38-28:16
171,1,Acts 28:17-31
171,2,Rom 1:1-14:23
172,1,Rom 15:1-16:27
