TITLE,YOUTUBE LABEL,VIDEO_ID
Read Scripture Intro,"Read Scripture Intro by The Bible Project 3 years ago 3 minutes, 12 seconds 1,000,118 views",7hUs4TXRuVk
Read Scripture: TaNaK / Old Testament,"Read Scripture: TaNaK / Old Testament by The Bible Project 8 months ago 12 minutes 295,241 views",ALsluAKBZ-c
Read Scripture: Genesis Ch. 1-11,"Read Scripture: Genesis Ch. 1-11 by The Bible Project 3 years ago 7 minutes, 43 seconds 1,685,940 views",GQI72THyO5I
Read Scripture: Genesis Ch. 12-50,"Read Scripture: Genesis Ch. 12-50 by The Bible Project 2 years ago 8 minutes, 8 seconds 1,023,722 views",F4isSyennFo
Read Scripture: Exodus Ch. 1 -18,"Read Scripture: Exodus Ch. 1 -18 by The Bible Project 2 years ago 6 minutes, 33 seconds 877,088 views",jH_aojNJM3E
Read Scripture: Exodus Ch. 19-40,"Read Scripture: Exodus Ch. 19-40 by The Bible Project 2 years ago 6 minutes, 27 seconds 653,871 views",oNpTha80yyE
Read Scripture: Leviticus,"Read Scripture: Leviticus by The Bible Project 2 years ago 8 minutes, 17 seconds 718,057 views",IJ-FekWUZzE
Read Scripture: Numbers,"Read Scripture: Numbers by The Bible Project 2 years ago 6 minutes, 51 seconds 623,333 views",tp5MIrMZFqo
Read Scripture: Deuteronomy,"Read Scripture: Deuteronomy by The Bible Project 2 years ago 7 minutes, 49 seconds 571,856 views",q5QEH9bH8AU
Read Scripture: Joshua,"Read Scripture: Joshua by The Bible Project 2 years ago 8 minutes, 48 seconds 1,245,567 views",JqOqJlFF_eU
Read Scripture: Judges,"Read Scripture: Judges by The Bible Project 2 years ago 7 minutes, 30 seconds 1,004,880 views",kOYy8iCfIJ4
Read Scripture: Ruth,"Read Scripture: Ruth by The Bible Project 3 years ago 7 minutes, 12 seconds 836,742 views",0h1eoBeR4Jk
Read Scripture: 1 Samuel,"Read Scripture: 1 Samuel by The Bible Project 2 years ago 7 minutes, 19 seconds 980,661 views",QJOju5Dw0V0
Read Scripture: 2 Samuel,"Read Scripture: 2 Samuel by The Bible Project 2 years ago 5 minutes, 57 seconds 737,026 views",YvoWDXNDJgs
Read Scripture: 1-2 Kings,"Read Scripture: 1-2 Kings by The Bible Project 2 years ago 8 minutes, 51 seconds 854,935 views",bVFW3wbi9pk
Read Scripture: Isaiah 1-39,"Read Scripture: Isaiah 1-39 by The Bible Project 2 years ago 8 minutes, 11 seconds 779,168 views",d0A6Uchb1F8
Read Scripture: Isaiah 40-66,"Read Scripture: Isaiah 40-66 by The Bible Project 2 years ago 8 minutes, 6 seconds 511,137 views",_TzdEPuqgQg
